failed,final_x_m,final_z_m,impulse_n_s,max_qbar_pa,miss_distance_m,run,success,time_of_flight_s
False,4006.418233254759,-510.25533916945045,11986.691543033401,73982.41960979244,238.0566843279304,194,False,13.75000000000006
False,4011.3064941352823,-386.7704921460334,13534.699510974198,91265.5337450805,178.85544022355734,195,True,12.650000000000045
False,4007.5769521229927,-469.0743906916118,13249.1252770181,86643.65266251085,222.9650251442393,196,True,13.05000000000005
False,4003.215698514365,-463.5677867401635,11580.282979420619,76445.62954877253,212.5424214847988,197,True,13.550000000000058
False,4003.197310714217,-438.72173285205315,12545.89038084978,84073.13088894465,203.65659199884848,198,True,13.200000000000053
False,4001.1674216076003,-570.3162427444355,11460.826091801111,72124.0261820605,267.75661331565294,199,False,14.150000000000066
False,4001.256384809596,-492.09401680982404,12015.89922642536,81724.21039288984,231.4294363895195,200,False,13.500000000000057
False,4009.872760018494,-477.8237242391596,12535.437657210181,87289.35132408598,224.08810470198583,201,True,13.250000000000053
False,4012.395050728108,-448.04670873448634,13900.313702906185,90253.48018910133,212.68014428393104,202,True,13.00000000000005
False,4000.526610380919,-486.7236737983945,12907.264801050076,79395.13279089045,230.58119045331446,203,False,13.300000000000054
False,4012.351904185011,-441.28870679019525,13228.343965545777,87386.58883481704,205.43552191724274,204,True,13.00000000000005
False,4012.757175494668,-445.5391707721356,12976.20781968868,89707.98082163518,209.3872982056636,205,True,13.00000000000005
False,4002.3139214509306,-448.3866891462642,12977.82000361978,87076.76296389296,210.36857366790483,206,True,13.05000000000005
False,4016.6255752234615,-392.4201704389885,13646.878713884842,93565.6720083295,180.8110749545954,207,True,12.650000000000045
False,4014.1581328750403,-438.2694833586858,13163.232957739283,88560.54303276165,204.26065115016016,208,True,13.05000000000005
False,4004.961850163314,-526.2286690684358,11712.114625234064,77285.59153219247,249.7246781945536,209,False,13.650000000000059
False,4013.2864271659214,-480.628957806723,11666.924539021622,78763.76736275894,221.06684547611414,210,True,13.650000000000059
False,4015.7100873191016,-480.5229151756611,12435.77088854284,77451.12135286174,225.2316672880252,211,True,13.350000000000055
False,4006.7253561835037,-476.32990915552034,12646.946494222835,83105.95604840273,223.60504777740724,212,True,13.300000000000054
False,4005.1270474515304,-522.144679514265,11362.246175350127,73533.20520782961,241.87729105271123,213,False,13.900000000000063
False,4001.870320047497,-465.1556657182971,12677.733231087135,82411.74397545992,217.1146739316043,214,True,13.350000000000055
False,4009.598487819154,-455.5393864340283,13295.161261118616,85334.1654086253,212.95856012577642,215,True,13.150000000000052
False,4001.553866706736,-420.1764417213453,13983.065858214586,87665.56549891976,198.91963332703375,216,True,12.650000000000045
False,4007.962100290493,-558.935862014007,11337.942444427734,70104.75170634517,259.2051918585998,217,False,14.150000000000066
False,4013.153658159233,-453.9990633102835,13762.268824398441,84492.51657714866,216.73315105968894,218,True,12.850000000000048
False,4014.90075367218,-545.9246073725654,11979.496906435352,80270.43148537818,257.00058647833566,219,False,13.900000000000063
False,4013.901701331456,-448.00754409544834,13230.900495479957,83698.55119493713,211.29022379615452,220,True,13.05000000000005
False,4008.656011825945,-416.83512153796767,12846.319864076204,84807.18595969131,195.1896717141534,221,True,12.900000000000048
False,4014.3403297216205,-415.3901780172881,13158.216681538777,89333.35030822732,192.72228594934188,222,True,12.850000000000048
False,4008.9948827119383,-477.4850048236246,12671.589676647945,79197.92010060427,219.19378132880905,223,True,13.550000000000058
False,4013.3959911683323,-440.8958279189531,13105.10693553987,83827.43173391091,207.05325280290108,224,True,12.950000000000049
False,4015.4254109496787,-486.0116754802479,12455.30029306608,84179.50717685191,230.5101892063348,225,False,13.250000000000053
False,4010.608791359982,-494.138294737377,12017.514943722013,81398.74080974107,227.4025516360151,226,True,13.600000000000058
False,4013.164936183384,-472.90638159858287,12535.33748091717,81806.61399717063,218.6174633377172,227,True,13.350000000000055
False,4000.1264935462273,-554.0998615556354,11102.633514484698,69803.2597181375,257.02218365853344,228,False,14.200000000000067
False,4013.606454203553,-468.09370666145617,12977.529447137182,84657.8298429525,218.56437257959197,229,True,13.250000000000053
False,4005.8948500811803,-529.2341639677863,11519.10759333909,72705.15918359807,244.16143676079287,230,False,13.950000000000063
False,4005.126031638654,-463.8213561279575,11904.315939378974,84092.83634690734,211.7006246036075,231,True,13.450000000000056
False,4002.411239519494,-513.0032910375833,11987.80694362576,77607.98270051286,238.32267513814,232,False,13.75000000000006
False,4009.0359469919713,-433.6703900436194,12827.684798768825,84959.56877859618,200.08755974050305,233,True,13.150000000000052
False,4011.825261252069,-477.2909392081762,12459.812971628817,80016.10045148488,221.93111623221048,234,True,13.400000000000055
False,4010.615273608493,-502.27463178032866,12270.701008548785,77028.42054648972,235.77135835024907,235,False,13.600000000000058
False,4012.7627233441935,-525.5467509723296,11577.511704788472,75770.54515230712,242.77432075768704,236,False,13.900000000000063
False,4011.55807979468,-495.93862547078044,11770.378682351835,77309.15159262036,228.68177435361946,237,True,13.650000000000059
False,4015.6447410935325,-441.78973829009794,12869.065972560133,85609.98745116327,203.5838694408867,238,True,13.150000000000052
False,4013.7357235830764,-474.9649122242124,12742.116968867567,82439.69656524986,221.6520723964289,239,True,13.250000000000053
False,4005.9241154016336,-452.27034780255866,13016.962456630146,84691.27201206297,213.92757431714656,240,True,13.00000000000005
False,4001.083300997495,-513.7658393629908,11852.418683618549,75461.83356596234,241.21432918798277,241,False,13.70000000000006
False,4001.324529478662,-508.4690725663657,11704.052655112164,73549.62838577521,238.45361236174588,242,False,13.70000000000006
False,4004.3041104849194,-443.9397471989775,13345.301437960099,85261.57444425944,206.82885674883724,243,True,13.00000000000005
False,4010.531926207686,-487.73381811029213,12779.883511781218,82801.53916587977,227.08596032526413,244,True,13.450000000000056
False,4006.6692409898733,-545.4392824382828,10844.76227285791,68560.43085396694,254.18816718791012,245,False,14.100000000000065
False,4008.569332273307,-481.54987700503654,11708.561756023557,76987.84426868275,223.416978739707,246,True,13.600000000000058
False,4013.3766154519453,-486.07851991004287,12371.14248764834,83732.84173742188,227.2872602355732,247,True,13.350000000000055
